|film_id|category_id|title                      |category   |rating|release_year|rental_rate|last_update|
|-------|-----------|---------------------------|-----------|------|------------|-----------|-----------|
|1      |6          |ACADEMY DINOSAUR           |Documentary|PG    |2006        |1.99       |2023-08-24 |
|2      |11         |ACE GOLDFINGER             |Horror     |G     |2006        |4.99       |2006-02-15 |
|3      |6          |ADAPTATION HOLES           |Documentary|NC-17 |2006        |2.99       |2006-02-15 |
|4      |11         |AFFAIR PREJUDICE           |Horror     |G     |2006        |2.99       |2006-02-15 |
|5      |8          |AFRICAN EGG                |Family     |G     |2006        |2.99       |2006-02-15 |
|6      |9          |AGENT TRUMAN               |Foreign    |PG    |2006        |1.99       |2023-08-24 |
|7      |5          |AIRPLANE SIERRA            |Comedy     |PG-13 |2006        |4.99       |2006-02-15 |
|8      |11         |AIRPORT POLLOCK            |Horror     |R     |2006        |4.99       |2006-02-15 |
|9      |11         |ALABAMA DEVIL              |Horror     |PG-13 |2006        |2.99       |2006-02-15 |
|10     |15         |ALADDIN CALENDAR           |Sports     |NC-17 |2006        |4.99       |2006-02-15 |
|11     |9          |ALAMO VIDEOTAPE            |Foreign    |G     |2006        |0.99       |2006-02-15 |
|12     |12         |ALASKA PHANTOM             |Music      |PG    |2006        |1.99       |2023-08-24 |
|13     |11         |ALI FOREVER                |Horror     |PG    |2006        |1.99       |2023-08-24 |
|14     |4          |ALICE FANTASIA             |Classics   |NC-17 |2006        |0.99       |2006-02-15 |
|15     |9          |ALIEN CENTER               |Foreign    |NC-17 |2006        |2.99       |2006-02-15 |
|16     |9          |ALLEY EVOLUTION            |Foreign    |NC-17 |2006        |2.99       |2006-02-15 |
|17     |12         |ALONE TRIP                 |Music      |R     |2006        |0.99       |2006-02-15 |
|18     |2          |ALTER VICTORY              |Animation  |PG-13 |2006        |0.99       |2006-02-15 |
|19     |1          |AMADEUS HOLY               |Action     |PG    |2006        |1.99       |2023-08-24 |
|20     |12         |AMELIE HELLFIGHTERS        |Music      |R     |2006        |4.99       |2006-02-15 |
|21     |1          |AMERICAN CIRCUS            |Action     |R     |2006        |4.99       |2006-02-15 |
|22     |13         |AMISTAD MIDSUMMER          |New        |G     |2006        |2.99       |2006-02-15 |
|23     |2          |ANACONDA CONFESSIONS       |Animation  |R     |2006        |0.99       |2006-02-15 |
|24     |11         |ANALYZE HOOSIERS           |Horror     |R     |2006        |2.99       |2006-02-15 |
|25     |13         |ANGELS LIFE                |New        |G     |2006        |2.99       |2006-02-15 |
|26     |14         |ANNIE IDENTITY             |Sci-Fi     |G     |2006        |0.99       |2006-02-15 |
|27     |15         |ANONYMOUS HUMAN            |Sports     |NC-17 |2006        |0.99       |2006-02-15 |
|28     |5          |ANTHEM LUKE                |Comedy     |PG-13 |2006        |4.99       |2006-02-15 |
|29     |1          |ANTITRUST TOMATOES         |Action     |NC-17 |2006        |2.99       |2006-02-15 |
|30     |11         |ANYTHING SAVANNAH          |Horror     |R     |2006        |2.99       |2006-02-15 |
|31     |8          |APACHE DIVINE              |Family     |NC-17 |2006        |4.99       |2006-02-15 |
|32     |13         |APOCALYPSE FLAMINGOS       |New        |R     |2006        |4.99       |2006-02-15 |
|33     |7          |APOLLO TEEN                |Drama      |PG-13 |2006        |2.99       |2006-02-15 |
|34     |11         |ARABIA DOGMA               |Horror     |NC-17 |2006        |0.99       |2006-02-15 |
|35     |11         |ARACHNOPHOBIA ROLLERCOASTER|Horror     |PG-13 |2006        |2.99       |2006-02-15 |
|36     |2          |ARGONAUTS TOWN             |Animation  |PG-13 |2006        |0.99       |2006-02-15 |
|37     |4          |ARIZONA BANG               |Classics   |PG    |2006        |1.99       |2023-08-24 |
|38     |1          |ARK RIDGEMONT              |Action     |NC-17 |2006        |0.99       |2006-02-15 |
|39     |14         |ARMAGEDDON LOST            |Sci-Fi     |G     |2006        |0.99       |2006-02-15 |
|40     |6          |ARMY FLINTSTONES           |Documentary|R     |2006        |0.99       |2006-02-15 |
|41     |16         |ARSENIC INDEPENDENCE       |Travel     |PG    |2006        |1.99       |2023-08-24 |
|42     |15         |ARTIST COLDBLOODED         |Sports     |NC-17 |2006        |2.99       |2006-02-15 |
|43     |8          |ATLANTIS CAUSE             |Family     |G     |2006        |2.99       |2006-02-15 |
|44     |14         |ATTACKS HATE               |Sci-Fi     |PG-13 |2006        |4.99       |2006-02-15 |
|45     |13         |ATTRACTION NEWTON          |New        |PG-13 |2006        |4.99       |2006-02-15 |
|46     |10         |AUTUMN CROW                |Games      |G     |2006        |4.99       |2006-02-15 |
|47     |9          |BABY HALL                  |Foreign    |NC-17 |2006        |4.99       |2006-02-15 |
|48     |3          |BACKLASH UNDEFEATED        |Children   |PG-13 |2006        |4.99       |2006-02-15 |
|49     |14         |BADMAN DAWN                |Sci-Fi     |R     |2006        |2.99       |2006-02-15 |
|50     |8          |BAKED CLEOPATRA            |Family     |G     |2006        |2.99       |2006-02-15 |
|51     |12         |BALLOON HOMEWARD           |Music      |NC-17 |2006        |2.99       |2006-02-15 |
|52     |9          |BALLROOM MOCKINGBIRD       |Foreign    |G     |2006        |0.99       |2006-02-15 |
|53     |8          |BANG KWAI                  |Family     |NC-17 |2006        |2.99       |2006-02-15 |
|54     |12         |BANGER PINOCCHIO           |Music      |R     |2006        |0.99       |2006-02-15 |
|55     |14         |BARBARELLA STREETCAR       |Sci-Fi     |G     |2006        |2.99       |2006-02-15 |
|56     |1          |BAREFOOT MANCHURIAN        |Action     |G     |2006        |2.99       |2006-02-15 |
|57     |16         |BASIC EASY                 |Travel     |PG-13 |2006        |2.99       |2006-02-15 |
|58     |6          |BEACH HEARTBREAKERS        |Documentary|G     |2006        |2.99       |2006-02-15 |
|59     |3          |BEAR GRACELAND             |Children   |R     |2006        |2.99       |2006-02-15 |
|60     |4          |BEAST HUNCHBACK            |Classics   |R     |2006        |4.99       |2006-02-15 |
|61     |7          |BEAUTY GREASE              |Drama      |G     |2006        |4.99       |2006-02-15 |
|62     |6          |BED HIGHBALL               |Documentary|NC-17 |2006        |2.99       |2006-02-15 |
|63     |8          |BEDAZZLED MARRIED          |Family     |PG    |2006        |1.99       |2023-08-24 |
|64     |7          |BEETHOVEN EXORCIST         |Drama      |PG-13 |2006        |0.99       |2006-02-15 |
|65     |11         |BEHAVIOR RUNAWAY           |Horror     |PG    |2006        |1.99       |2023-08-24 |
|66     |3          |BENEATH RUSH               |Children   |NC-17 |2006        |0.99       |2006-02-15 |
|67     |1          |BERETS AGENT               |Action     |PG-13 |2006        |2.99       |2006-02-15 |
|68     |3          |BETRAYED REAR              |Children   |NC-17 |2006        |4.99       |2006-02-15 |
|69     |14         |BEVERLY OUTLAW             |Sci-Fi     |R     |2006        |2.99       |2006-02-15 |
|70     |2          |BIKINI BORROWERS           |Animation  |NC-17 |2006        |4.99       |2006-02-15 |
|71     |8          |BILKO ANONYMOUS            |Family     |PG-13 |2006        |4.99       |2006-02-15 |
|72     |6          |BILL OTHERS                |Documentary|PG    |2006        |1.99       |2023-08-24 |
|73     |14         |BINGO TALENTED             |Sci-Fi     |PG-13 |2006        |2.99       |2006-02-15 |
|74     |12         |BIRCH ANTITRUST            |Music      |PG    |2006        |1.99       |2023-08-24 |
|75     |16         |BIRD INDEPENDENCE          |Travel     |G     |2006        |4.99       |2006-02-15 |
|76     |12         |BIRDCAGE CASPER            |Music      |NC-17 |2006        |0.99       |2006-02-15 |
|77     |13         |BIRDS PERDITION            |New        |G     |2006        |4.99       |2006-02-15 |
|78     |2          |BLACKOUT PRIVATE           |Animation  |PG    |2006        |1.99       |2023-08-24 |
|79     |7          |BLADE POLISH               |Drama      |PG-13 |2006        |0.99       |2006-02-15 |
|80     |8          |BLANKET BEVERLY            |Family     |G     |2006        |2.99       |2006-02-15 |
|81     |14         |BLINDNESS GUN              |Sci-Fi     |PG-13 |2006        |4.99       |2006-02-15 |
|82     |8          |BLOOD ARGONAUTS            |Family     |G     |2006        |0.99       |2006-02-15 |
|83     |8          |BLUES INSTINCT             |Family     |G     |2006        |2.99       |2006-02-15 |
|84     |16         |BOILED DARES               |Travel     |PG    |2006        |1.99       |2023-08-24 |
|85     |6          |BONNIE HOLOCAUST           |Documentary|G     |2006        |0.99       |2006-02-15 |
|86     |12         |BOOGIE AMELIE              |Music      |R     |2006        |4.99       |2006-02-15 |
|87     |16         |BOONDOCK BALLROOM          |Travel     |NC-17 |2006        |0.99       |2006-02-15 |
|88     |16         |BORN SPINAL                |Travel     |PG    |2006        |1.99       |2023-08-24 |
|89     |2          |BORROWERS BEDAZZLED        |Animation  |G     |2006        |0.99       |2006-02-15 |
|90     |13         |BOULEVARD MOB              |New        |R     |2006        |0.99       |2006-02-15 |
|91     |4          |BOUND CHEAPER              |Classics   |PG    |2006        |1.99       |2023-08-24 |
|92     |11         |BOWFINGER GABLES           |Horror     |NC-17 |2006        |4.99       |2006-02-15 |
|93     |13         |BRANNIGAN SUNRISE          |New        |PG    |2006        |1.99       |2023-08-24 |
|94     |8          |BRAVEHEART HUMAN           |Family     |PG-13 |2006        |2.99       |2006-02-15 |
|95     |13         |BREAKFAST GOLDFINGER       |New        |G     |2006        |4.99       |2006-02-15 |
|96     |13         |BREAKING HOME              |New        |PG-13 |2006        |2.99       |2006-02-15 |
|97     |1          |BRIDE INTRIGUE             |Action     |G     |2006        |0.99       |2006-02-15 |
|98     |7          |BRIGHT ENCOUNTERS          |Drama      |PG-13 |2006        |4.99       |2006-02-15 |
|99     |5          |BRINGING HYSTERICAL        |Comedy     |PG    |2006        |1.99       |2023-08-24 |
|100    |9          |BROOKLYN DESERT            |Foreign    |R     |2006        |4.99       |2006-02-15 |
|101    |6          |BROTHERHOOD BLANKET        |Documentary|R     |2006        |0.99       |2006-02-15 |
|102    |15         |BUBBLE GROSSE              |Sports     |R     |2006        |4.99       |2006-02-15 |
|103    |16         |BUCKET BROTHERHOOD         |Travel     |PG    |2006        |1.99       |2023-08-24 |
|104    |9          |BUGSY SONG                 |Foreign    |G     |2006        |2.99       |2006-02-15 |
|105    |1          |BULL SHAWSHANK             |Action     |NC-17 |2006        |0.99       |2006-02-15 |
|106    |10         |BULWORTH COMMANDMENTS      |Games      |G     |2006        |2.99       |2006-02-15 |
|107    |7          |BUNCH MINDS                |Drama      |G     |2006        |2.99       |2006-02-15 |
|108    |13         |BUTCH PANTHER              |New        |PG-13 |2006        |0.99       |2006-02-15 |
|109    |13         |BUTTERFLY CHOCOLAT         |New        |G     |2006        |0.99       |2006-02-15 |
|110    |3          |CABIN FLASH                |Children   |NC-17 |2006        |0.99       |2006-02-15 |
|111    |1          |CADDYSHACK JEDI            |Action     |NC-17 |2006        |0.99       |2006-02-15 |
|112    |9          |CALENDAR GUNFIGHT          |Foreign    |NC-17 |2006        |4.99       |2006-02-15 |
|113    |15         |CALIFORNIA BIRDS           |Sports     |NC-17 |2006        |4.99       |2006-02-15 |
|114    |14         |CAMELOT VACATION           |Sci-Fi     |NC-17 |2006        |0.99       |2006-02-15 |
|115    |1          |CAMPUS REMEMBER            |Action     |R     |2006        |2.99       |2006-02-15 |
|116    |4          |CANDIDATE PERDITION        |Classics   |R     |2006        |2.99       |2006-02-15 |
|117    |10         |CANDLES GRAPES             |Games      |NC-17 |2006        |4.99       |2006-02-15 |
|118    |2          |CANYON STOCK               |Animation  |R     |2006        |0.99       |2006-02-15 |
|119    |5          |CAPER MOTIONS              |Comedy     |G     |2006        |0.99       |2006-02-15 |
|120    |15         |CARIBBEAN LIBERTY          |Sports     |NC-17 |2006        |4.99       |2006-02-15 |
|121    |2          |CAROL TEXAS                |Animation  |PG    |2006        |1.99       |2023-08-24 |
|122    |11         |CARRIE BUNCH               |Horror     |PG    |2006        |1.99       |2023-08-24 |
|123    |16         |CASABLANCA SUPER           |Travel     |G     |2006        |4.99       |2006-02-15 |
|124    |3          |CASPER DRAGONFLY           |Children   |PG-13 |2006        |4.99       |2006-02-15 |
|125    |16         |CASSIDY WYOMING            |Travel     |NC-17 |2006        |2.99       |2006-02-15 |
|126    |1          |CASUALTIES ENCINO          |Action     |G     |2006        |4.99       |2006-02-15 |
|127    |5          |CAT CONEHEADS              |Comedy     |G     |2006        |4.99       |2006-02-15 |
|128    |9          |CATCH AMISTAD              |Foreign    |G     |2006        |0.99       |2006-02-15 |
|129    |6          |CAUSE DATE                 |Documentary|R     |2006        |2.99       |2006-02-15 |
