|id |title                  |description                                                                                                                     |length|rental_date|rental_duration|rental_return|
|---|-----------------------|--------------------------------------------------------------------------------------------------------------------------------|------|-----------|---------------|-------------|
|80 |BLANKET BEVERLY        |A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria                                                |148   |2005-05-24 |7              |2            |
|333|FREAKY POCUS           |A Fast-Paced Documentary of a Pastry Chef And a Crocodile who must Chase a Squirrel in The Gulf of Mexico                       |126   |2005-05-24 |7              |4            |
|373|GRADUATE LORD          |A Lacklusture Epistle of a Girl And a A Shark who must Meet a Mad Scientist in Ancient China                                    |156   |2005-05-24 |7              |8            |
|535|LOVE SUICIDES          |A Brilliant Panorama of a Hunter And a Explorer who must Pursue a Dentist in An Abandoned Fun House                             |181   |2005-05-24 |6              |10           |
|450|IDOLS SNATCHERS        |A Insightful Drama of a Car And a Composer who must Fight a Man in A Monastery                                                  |84    |2005-05-24 |5              |9            |
|613|MYSTIC TRUMAN          |A Epic Yarn of a Teacher And a Hunter who must Outgun a Explorer in Soviet Georgia                                              |92    |2005-05-24 |5              |3            |
|870|SWARM GOLD             |A Insightful Panorama of a Crocodile And a Boat who must Conquer a Sumo Wrestler in A MySQL Convention                          |123   |2005-05-24 |4              |5            |
|510|LAWLESS VISION         |A Insightful Yarn of a Boy And a Sumo Wrestler who must Outgun a Car in The Outback                                             |181   |2005-05-24 |6              |3            |
|565|MATRIX SNOWMAN         |A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California                                       |56    |2005-05-25 |6              |3            |
|396|HANGING DEEP           |A Action-Packed Yarn of a Boat And a Crocodile who must Build a Monkey in Berlin                                                |62    |2005-05-25 |5              |6            |
|971|WHALE BIKINI           |A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention                   |109   |2005-05-25 |4              |8            |
|347|GAMES BOWFINGER        |A Astounding Documentary of a Butler And a Explorer who must Challenge a Butler in A Monastery                                  |119   |2005-05-25 |7              |5            |
|499|KING EVOLUTION         |A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon                                              |184   |2005-05-25 |3              |5            |
|593|MONTEREY LABYRINTH     |A Awe-Inspiring Drama of a Monkey And a Composer who must Escape a Feminist in A U-Boat                                         |158   |2005-05-25 |6              |1            |
|670|PELICAN COMFORTS       |A Epic Documentary of a Boy And a Monkey who must Pursue a Astronaut in Berlin                                                  |48    |2005-05-25 |4              |9            |
|86 |BOOGIE AMELIE          |A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico        |121   |2005-05-25 |6              |1            |
|181|CONTACT ANONYMOUS      |A Insightful Display of a A Shark And a Monkey who must Face a Database Administrator in Ancient India                          |166   |2005-05-25 |7              |2            |
|741|ROMAN PUNK             |A Thoughtful Panorama of a Mad Cow And a Student who must Battle a Forensic Psychologist in Berlin                              |81    |2005-05-25 |7              |6            |
|422|HOLLOW JEOPARDY        |A Beautiful Character Study of a Robot And a Astronaut who must Overcome a Boat in A Monastery                                  |136   |2005-05-25 |7              |6            |
|770|SCISSORHANDS SLUMS     |A Awe-Inspiring Drama of a Girl And a Technical Writer who must Meet a Feminist in The Canadian Rockies                         |147   |2005-05-25 |5              |2            |
|31 |APACHE DIVINE          |A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat                         |92    |2005-05-25 |5              |1            |
|159|CLOSER BANG            |A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India                                  |58    |2005-05-25 |5              |1            |
|971|WHALE BIKINI           |A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention                   |109   |2005-05-25 |4              |4            |
|721|REDS POCUS             |A Lacklusture Yarn of a Sumo Wrestler And a Squirrel who must Redeem a Monkey in Soviet Georgia                                 |182   |2005-05-25 |7              |2            |
|863|SUN CONFESSIONS        |A Beautiful Display of a Mad Cow And a Dog who must Redeem a Waitress in An Abandoned Amusement Park                            |141   |2005-05-25 |5              |2            |
|953|WAIT CIDER             |A Intrepid Epistle of a Woman And a Forensic Psychologist who must Succumb a Astronaut in A Manhattan Penthouse                 |112   |2005-05-25 |3              |6            |
|271|EASY GLADIATOR         |A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India                                         |148   |2005-05-25 |5              |5            |
|887|THIEF PELICAN          |A Touching Documentary of a Madman And a Mad Scientist who must Outrace a Feminist in An Abandoned Mine Shaft                   |135   |2005-05-25 |5              |1            |
|132|CHAINSAW UPTOWN        |A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia                                          |114   |2005-05-25 |6              |5            |
|819|SONG HEDWIG            |A Amazing Documentary of a Man And a Husband who must Confront a Squirrel in A MySQL Convention                                 |165   |2005-05-25 |3              |5            |
|979|WITCHES PANIC          |A Awe-Inspiring Drama of a Secret Agent And a Hunter who must Fight a Moose in Nigeria                                          |100   |2005-05-25 |6              |5            |
|839|STALLION SUNDANCE      |A Fast-Paced Tale of a Car And a Dog who must Outgun a A Shark in Australia                                                     |130   |2005-05-25 |5              |0            |
|367|GOLDMINE TYCOON        |A Brilliant Epistle of a Composer And a Frisbee who must Conquer a Husband in The Outback                                       |153   |2005-05-25 |6              |2            |
|573|MICROCOSMOS PARADISE   |A Touching Character Study of a Boat And a Student who must Sink a A Shark in Nigeria                                           |105   |2005-05-25 |6              |4            |
|284|ENEMY ODDS             |A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India                                 |77    |2005-05-25 |5              |2            |
|288|ESCAPE METROPOLIS      |A Taut Yarn of a Astronaut And a Technical Writer who must Outgun a Boat in New Orleans                                         |167   |2005-05-25 |7              |4            |
|89 |BORROWERS BEDAZZLED    |A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House                            |63    |2005-05-25 |7              |4            |
|557|MANCHURIAN CURTAIN     |A Stunning Tale of a Mad Cow And a Boy who must Battle a Boy in Berlin                                                          |177   |2005-05-25 |5              |7            |
|976|WIND PHANTOM           |A Touching Saga of a Madman And a Forensic Psychologist who must Build a Sumo Wrestler in An Abandoned Mine Shaft               |111   |2005-05-25 |6              |6            |
|579|MINDS TRUMAN           |A Taut Yarn of a Mad Scientist And a Crocodile who must Outgun a Database Administrator in A Monastery                          |149   |2005-05-25 |3              |2            |
|382|GRIT CLOCKWORK         |A Thoughtful Display of a Dentist And a Squirrel who must Confront a Lumberjack in A Shark Tank                                 |137   |2005-05-25 |3              |8            |
|84 |BOILED DARES           |A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan                                      |102   |2005-05-25 |7              |6            |
|564|MASSAGE IMAGE          |A Fateful Drama of a Frisbee And a Crocodile who must Vanquish a Dog in The First Manned Space Station                          |161   |2005-05-25 |4              |1            |
|681|PIRATES ROXANNE        |A Stunning Drama of a Woman And a Lumberjack who must Overcome a A Shark in The Canadian Rockies                                |100   |2005-05-25 |4              |4            |
|403|HARRY IDAHO            |A Taut Yarn of a Technical Writer And a Feminist who must Outrace a Dog in California                                           |121   |2005-05-25 |5              |8            |
|730|RIDGEMONT SUBMARINE    |A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan                                     |46    |2005-05-25 |3              |8            |
|478|JAWS HARRY             |A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House                  |112   |2005-05-25 |4              |5            |
|387|GUN BONNIE             |A Boring Display of a Sumo Wrestler And a Husband who must Build a Waitress in The Gulf of Mexico                               |100   |2005-05-25 |7              |8            |
|650|PACIFIC AMISTAD        |A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse                                      |144   |2005-05-25 |3              |5            |
|432|HOPE TOOTSIE           |A Amazing Documentary of a Student And a Sumo Wrestler who must Outgun a A Shark in A Shark Tank                                |139   |2005-05-25 |4              |3            |
|278|ELF MURDER             |A Action-Packed Story of a Frisbee And a Woman who must Reach a Girl in An Abandoned Mine Shaft                                 |155   |2005-05-25 |4              |1            |
|875|TALENTED HOMICIDE      |A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat                          |173   |2005-05-25 |6              |6            |
|277|ELEPHANT TROJAN        |A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon                        |126   |2005-05-25 |4              |2            |
|611|MUSKETEERS WAIT        |A Touching Yarn of a Student And a Moose who must Fight a Mad Cow in Australia                                                  |73    |2005-05-25 |7              |7            |
|252|DREAM PICKUP           |A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico                          |135   |2005-05-25 |6              |5            |
|298|EYES DRIVING           |A Thrilling Story of a Cat And a Waitress who must Fight a Explorer in The Outback                                              |172   |2005-05-25 |4              |1            |
|858|SUBMARINE BED          |A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia                                              |127   |2005-05-25 |5              |4            |
|670|PELICAN COMFORTS       |A Epic Documentary of a Boy And a Monkey who must Pursue a Astronaut in Berlin                                                  |48    |2005-05-25 |4              |3            |
|633|OCTOBER SUBMARINE      |A Taut Epistle of a Monkey And a Boy who must Confront a Husband in A Jet Boat                                                  |54    |2005-05-25 |6              |7            |
|73 |BINGO TALENTED         |A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria                                               |150   |2005-05-25 |5              |5            |
|915|TRUMAN CRAZY           |A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery                                  |92    |2005-05-25 |7              |8            |
|58 |BEACH HEARTBREAKERS    |A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia                                |122   |2005-05-25 |6              |5            |
|873|SWEETHEARTS SUSPECTS   |A Brilliant Character Study of a Frisbee And a Sumo Wrestler who must Confront a Woman in The Gulf of Mexico                    |108   |2005-05-25 |3              |2            |
|16 |ALLEY EVOLUTION        |A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans                                         |180   |2005-05-25 |6              |9            |
|776|SECRET GROUNDHOG       |A Astounding Story of a Cat And a Database Administrator who must Build a Technical Writer in New Orleans                       |90    |2005-05-25 |6              |4            |
|257|DRUMLINE CYCLONE       |A Insightful Panorama of a Monkey And a Sumo Wrestler who must Outrace a Mad Scientist in The Canadian Rockies                  |110   |2005-05-25 |3              |4            |
|54 |BANGER PINOCCHIO       |A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station                   |113   |2005-05-25 |5              |2            |
|878|TEEN APOLLO            |A Awe-Inspiring Drama of a Dog And a Man who must Escape a Robot in A Shark Tank                                                |74    |2005-05-25 |3              |6            |
|705|PURPLE MOVIE           |A Boring Display of a Pastry Chef And a Sumo Wrestler who must Discover a Frisbee in An Abandoned Amusement Park                |88    |2005-05-25 |4              |2            |
|468|INVASION CYCLONE       |A Lacklusture Character Study of a Mad Scientist And a Womanizer who must Outrace a Explorer in A Monastery                     |97    |2005-05-25 |5              |2            |
|525|LOATHING LEGALLY       |A Boring Epistle of a Pioneer And a Mad Scientist who must Escape a Frisbee in The Gulf of Mexico                               |140   |2005-05-25 |4              |3            |
|489|JUGGLER HARDLY         |A Epic Story of a Mad Cow And a Astronaut who must Challenge a Car in California                                                |54    |2005-05-25 |4              |3            |
|114|CAMELOT VACATION       |A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention                        |61    |2005-05-25 |3              |7            |
|379|GREEDY ROOTS           |A Amazing Reflection of a A Shark And a Butler who must Chase a Hunter in The Canadian Rockies                                  |166   |2005-05-25 |7              |1            |
|745|ROSES TREASURE         |A Astounding Panorama of a Monkey And a Secret Agent who must Defeat a Woman in The First Manned Space Station                  |162   |2005-05-25 |5              |9            |
|663|PATIENT SISTER         |A Emotional Epistle of a Squirrel And a Robot who must Confront a Lumberjack in Soviet Georgia                                  |99    |2005-05-25 |7              |9            |
|287|ENTRAPMENT SATISFACTION|A Thoughtful Panorama of a Hunter And a Teacher who must Reach a Mad Cow in A U-Boat                                            |176   |2005-05-25 |5              |1            |
|887|THIEF PELICAN          |A Touching Documentary of a Madman And a Mad Scientist who must Outrace a Feminist in An Abandoned Mine Shaft                   |135   |2005-05-25 |5              |6            |
|726|RESERVOIR ADAPTATION   |A Intrepid Drama of a Teacher And a Moose who must Kill a Car in California                                                     |61    |2005-05-25 |7              |9            |
|543|MADIGAN DORADO         |A Astounding Character Study of a A Shark And a A Shark who must Discover a Crocodile in The Outback                            |116   |2005-05-25 |5              |6            |
|572|METROPOLIS COMA        |A Emotional Saga of a Database Administrator And a Pastry Chef who must Confront a Teacher in A Baloon Factory                  |64    |2005-05-25 |4              |8            |
|304|FARGO GANDHI           |A Thrilling Reflection of a Pastry Chef And a Crocodile who must Reach a Teacher in The Outback                                 |130   |2005-05-25 |3              |7            |
|103|BUCKET BROTHERHOOD     |A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory                                   |133   |2005-05-25 |7              |2            |
|397|HANKY OCTOBER          |A Boring Epistle of a Database Administrator And a Explorer who must Pursue a Madman in Soviet Georgia                          |107   |2005-05-25 |5              |4            |
|103|BUCKET BROTHERHOOD     |A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory                                   |133   |2005-05-25 |7              |4            |
|491|JUMPING WRATH          |A Touching Epistle of a Monkey And a Feminist who must Discover a Boat in Berlin                                                |74    |2005-05-25 |4              |5            |
|348|GANDHI KWAI            |A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin                                      |86    |2005-05-25 |7              |4            |
|480|JEEPERS WEDDING        |A Astounding Display of a Composer And a Dog who must Kill a Pastry Chef in Soviet Georgia                                      |84    |2005-05-25 |3              |4            |
|471|ISLAND EXORCIST        |A Fanciful Panorama of a Technical Writer And a Boy who must Find a Dentist in An Abandoned Fun House                           |84    |2005-05-25 |7              |4            |
|654|PANKY SUBMARINE        |A Touching Documentary of a Dentist And a Sumo Wrestler who must Overcome a Boy in The Gulf of Mexico                           |93    |2005-05-25 |4              |7            |
|28 |ANTHEM LUKE            |A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park                             |91    |2005-05-25 |5              |7            |
|169|COMFORTS RUSH          |A Unbelieveable Panorama of a Pioneer And a Husband who must Meet a Mad Cow in An Abandoned Mine Shaft                          |76    |2005-05-25 |3              |6            |
