|film_id|title                    |category   |rating|total_rental_income|last_update|
|-------|-------------------------|-----------|------|-------------------|-----------|
|2      |ACE GOLDFINGER           |Horror     |G     |4.99               |2006-02-15 |
|7      |AIRPLANE SIERRA          |Comedy     |PG-13 |4.99               |2006-02-15 |
|8      |AIRPORT POLLOCK          |Horror     |R     |4.99               |2006-02-15 |
|10     |ALADDIN CALENDAR         |Sports     |NC-17 |4.99               |2006-02-15 |
|20     |AMELIE HELLFIGHTERS      |Music      |R     |4.99               |2006-02-15 |
|21     |AMERICAN CIRCUS          |Action     |R     |4.99               |2006-02-15 |
|28     |ANTHEM LUKE              |Comedy     |PG-13 |4.99               |2006-02-15 |
|31     |APACHE DIVINE            |Family     |NC-17 |4.99               |2006-02-15 |
|32     |APOCALYPSE FLAMINGOS     |New        |R     |4.99               |2006-02-15 |
|44     |ATTACKS HATE             |Sci-Fi     |PG-13 |4.99               |2006-02-15 |
|45     |ATTRACTION NEWTON        |New        |PG-13 |4.99               |2006-02-15 |
|46     |AUTUMN CROW              |Games      |G     |4.99               |2006-02-15 |
|47     |BABY HALL                |Foreign    |NC-17 |4.99               |2006-02-15 |
|48     |BACKLASH UNDEFEATED      |Children   |PG-13 |4.99               |2006-02-15 |
|60     |BEAST HUNCHBACK          |Classics   |R     |4.99               |2006-02-15 |
|61     |BEAUTY GREASE            |Drama      |G     |4.99               |2006-02-15 |
|68     |BETRAYED REAR            |Children   |NC-17 |4.99               |2006-02-15 |
|70     |BIKINI BORROWERS         |Animation  |NC-17 |4.99               |2006-02-15 |
|71     |BILKO ANONYMOUS          |Family     |PG-13 |4.99               |2006-02-15 |
|75     |BIRD INDEPENDENCE        |Travel     |G     |4.99               |2006-02-15 |
|77     |BIRDS PERDITION          |New        |G     |4.99               |2006-02-15 |
|81     |BLINDNESS GUN            |Sci-Fi     |PG-13 |4.99               |2006-02-15 |
|86     |BOOGIE AMELIE            |Music      |R     |4.99               |2006-02-15 |
|92     |BOWFINGER GABLES         |Horror     |NC-17 |4.99               |2006-02-15 |
|95     |BREAKFAST GOLDFINGER     |New        |G     |4.99               |2006-02-15 |
|98     |BRIGHT ENCOUNTERS        |Drama      |PG-13 |4.99               |2006-02-15 |
|100    |BROOKLYN DESERT          |Foreign    |R     |4.99               |2006-02-15 |
|102    |BUBBLE GROSSE            |Sports     |R     |4.99               |2006-02-15 |
|112    |CALENDAR GUNFIGHT        |Foreign    |NC-17 |4.99               |2006-02-15 |
|113    |CALIFORNIA BIRDS         |Sports     |NC-17 |4.99               |2006-02-15 |
