|id   |title                      |rental_date|total_late_return|
|-----|---------------------------|-----------|-----------------|
|285  |ENGLISH BULWORTH           |2005-06-20 |4                |
|966  |WEDDING APOLLO             |2005-07-09 |4                |
|101  |BROTHERHOOD BLANKET        |2005-07-27 |4                |
|464  |INTENTIONS EMPIRE          |2005-07-28 |4                |
|730  |RIDGEMONT SUBMARINE        |2005-07-31 |4                |
|484  |JERK PAYCHECK              |2005-08-01 |4                |
|785  |SHAWSHANK BUBBLE           |2005-06-17 |3                |
|476  |JASON TRAP                 |2005-06-17 |3                |
|45   |ATTRACTION NEWTON          |2005-06-19 |3                |
|109  |BUTTERFLY CHOCOLAT         |2005-06-20 |3                |
|879  |TELEGRAPH VOYAGE           |2005-07-06 |3                |
|753  |RUSH GOODFELLAS            |2005-07-07 |3                |
|447  |ICE CROSSING               |2005-07-08 |3                |
|849  |STORM HAPPINESS            |2005-07-09 |3                |
|621  |NETWORK PEAK               |2005-07-10 |3                |
|73   |BINGO TALENTED             |2005-07-10 |3                |
|869  |SUSPECTS QUILLS            |2005-07-11 |3                |
|465  |INTERVIEW LIAISONS         |2005-07-11 |3                |
|944  |VIRGIN DAISY               |2005-07-11 |3                |
|109  |BUTTERFLY CHOCOLAT         |2005-07-11 |3                |
|625  |NONE SPIKING               |2005-07-12 |3                |
|966  |WEDDING APOLLO             |2005-07-27 |3                |
|367  |GOLDMINE TYCOON            |2005-07-27 |3                |
|846  |STING PERSONAL             |2005-07-27 |3                |
|453  |IMAGE PRINCESS             |2005-07-27 |3                |
|274  |EGG IGBY                   |2005-07-28 |3                |
|382  |GRIT CLOCKWORK             |2005-07-28 |3                |
|945  |VIRGINIAN PLUTO            |2005-07-28 |3                |
|930  |VACATION BOONDOCK          |2005-07-28 |3                |
|753  |RUSH GOODFELLAS            |2005-07-28 |3                |
|203  |DAISY MENAGERIE            |2005-07-28 |3                |
|897  |TORQUE BOUND               |2005-07-28 |3                |
|596  |MOONSHINE CABIN            |2005-07-28 |3                |
|295  |EXPENDABLE STALLION        |2005-07-28 |3                |
|295  |EXPENDABLE STALLION        |2005-07-29 |3                |
|131  |CENTER DINOSAUR            |2005-07-29 |3                |
|651  |PACKER MADIGAN             |2005-07-29 |3                |
|618  |NECKLACE OUTBREAK          |2005-07-29 |3                |
|670  |PELICAN COMFORTS           |2005-07-30 |3                |
|891  |TIMBERLAND SKY             |2005-07-30 |3                |
|529  |LONELY ELEPHANT            |2005-07-30 |3                |
|444  |HUSTLER PARTY              |2005-07-30 |3                |
|370  |GORGEOUS BINGO             |2005-07-30 |3                |
|35   |ARACHNOPHOBIA ROLLERCOASTER|2005-07-30 |3                |
|678  |PICKUP DRIVING             |2005-07-30 |3                |
|366  |GOLDFINGER SENSIBILITY     |2005-07-30 |3                |
|720  |REDEMPTION COMFORTS        |2005-07-31 |3                |
|764  |SATURDAY LAMBS             |2005-07-31 |3                |
|317  |FIREBALL PHILADELPHIA      |2005-08-01 |3                |
|266  |DYNAMITE TARZAN            |2005-08-01 |3                |
|851  |STRAIGHT HOURS             |2005-08-01 |3                |
|725  |REQUIEM TYCOON             |2005-08-01 |3                |
|37   |ARIZONA BANG               |2005-08-02 |3                |
|555  |MALLRATS UNITED            |2005-08-02 |3                |
|267  |EAGLES PANKY               |2005-08-02 |3                |
|159  |CLOSER BANG                |2005-08-02 |3                |
|244  |DORADO NOTTING             |2005-08-02 |3                |
|55   |BARBARELLA STREETCAR       |2005-08-02 |3                |
|366  |GOLDFINGER SENSIBILITY     |2005-08-17 |3                |
|271  |EASY GLADIATOR             |2005-08-17 |3                |
|791  |SHOW LORD                  |2005-08-18 |3                |
|545  |MADNESS ATTACKS            |2005-08-18 |3                |
|6    |AGENT TRUMAN               |2005-08-18 |3                |
|374  |GRAFFITI LOVE              |2005-08-18 |3                |
|814  |SNATCH SLIPPER             |2005-08-19 |3                |
|1,000|ZORRO ARK                  |2005-08-19 |3                |
|380  |GREEK EVERYONE             |2005-08-19 |3                |
|460  |INNOCENT USUAL             |2005-08-19 |3                |
|580  |MINE TITANS                |2005-08-20 |3                |
|147  |CHOCOLAT HARRY             |2005-08-20 |3                |
|733  |RIVER OUTLAW               |2005-08-20 |3                |
|873  |SWEETHEARTS SUSPECTS       |2005-08-20 |3                |
|698  |PRINCESS GIANT             |2005-08-20 |3                |
|164  |COAST RAINBOW              |2005-08-21 |3                |
|852  |STRANGELOVE DESIRE         |2005-08-21 |3                |
|652  |PAJAMA JAWBREAKER          |2005-08-21 |3                |
|317  |FIREBALL PHILADELPHIA      |2005-08-22 |3                |
|489  |JUGGLER HARDLY             |2005-08-22 |3                |
|35   |ARACHNOPHOBIA ROLLERCOASTER|2005-08-22 |3                |
|301  |FAMILY SWEET               |2005-08-23 |3                |
|266  |DYNAMITE TARZAN            |2005-08-19 |2                |
|282  |ENCOUNTERS CURTAIN         |2005-08-19 |2                |
|193  |CROSSROADS CASUALTIES      |2005-08-19 |2                |
|170  |COMMAND DARLING            |2005-08-19 |2                |
|383  |GROOVE FICTION             |2005-08-19 |2                |
|228  |DETECTIVE VISION           |2005-08-19 |2                |
|313  |FIDELITY DEVIL             |2005-08-19 |2                |
|270  |EARTH VISION               |2005-08-19 |2                |
|953  |WAIT CIDER                 |2005-08-19 |2                |
|101  |BROTHERHOOD BLANKET        |2005-08-19 |2                |
|216  |DAY UNFAITHFUL             |2005-08-19 |2                |
|738  |ROCKETEER MOTHER           |2005-08-19 |2                |
|5    |AFRICAN EGG                |2005-08-19 |2                |
|893  |TITANS JERK                |2005-08-19 |2                |
|711  |RAGING AIRPLANE            |2005-08-19 |2                |
|444  |HUSTLER PARTY              |2005-08-19 |2                |
|702  |PULP BEVERLY               |2005-08-19 |2                |
|746  |ROUGE SQUAD                |2005-08-19 |2                |
|12   |ALASKA PHANTOM             |2005-08-19 |2                |
|90   |BOULEVARD MOB              |2005-08-19 |2                |
|898  |TOURIST PELICAN            |2005-08-19 |2                |
|184  |CORE SUIT                  |2005-08-19 |2                |
|215  |DAWN POND                  |2005-08-19 |2                |
|231  |DINOSAUR SECRETARY         |2005-08-19 |2                |
|531  |LOSE INCH                  |2005-08-19 |2                |
|458  |INDIAN LOVE                |2005-08-19 |2                |
|115  |CAMPUS REMEMBER            |2005-08-19 |2                |
|491  |JUMPING WRATH              |2005-08-19 |2                |
|109  |BUTTERFLY CHOCOLAT         |2005-08-19 |2                |
|361  |GLEAMING JAWBREAKER        |2005-08-19 |2                |
|245  |DOUBLE WRATH               |2005-08-19 |2                |
|542  |LUST LOCK                  |2005-08-19 |2                |
|987  |WORDS HUNTER               |2005-08-19 |2                |
|311  |FICTION CHRISTMAS          |2005-08-19 |2                |
|596  |MOONSHINE CABIN            |2005-08-19 |2                |
|291  |EVOLUTION ALTER            |2005-08-20 |2                |
|113  |CALIFORNIA BIRDS           |2005-08-20 |2                |
|45   |ATTRACTION NEWTON          |2005-08-20 |2                |
|350  |GARDEN ISLAND              |2005-08-20 |2                |
|941  |VIDEOTAPE ARSENIC          |2005-08-20 |2                |
|294  |EXPECATIONS NATURAL        |2005-08-20 |2                |
|985  |WONDERLAND CHRISTMAS       |2005-08-20 |2                |
|429  |HONEY TIES                 |2005-08-20 |2                |
|683  |PITY BOUND                 |2005-08-20 |2                |
|697  |PRIMARY GLASS              |2005-08-20 |2                |
|854  |STRANGERS GRAFFITI         |2005-08-20 |2                |
|39   |ARMAGEDDON LOST            |2005-08-20 |2                |
|95   |BREAKFAST GOLDFINGER       |2005-08-20 |2                |
|17   |ALONE TRIP                 |2005-08-20 |2                |
|527  |LOLA AGENT                 |2005-08-20 |2                |
|12   |ALASKA PHANTOM             |2005-08-20 |2                |
|130  |CELEBRITY HORN             |2005-08-20 |2                |
|533  |LOST BIRD                  |2005-08-20 |2                |
|216  |DAY UNFAITHFUL             |2005-08-20 |2                |
|720  |REDEMPTION COMFORTS        |2005-08-20 |2                |
|579  |MINDS TRUMAN               |2005-08-20 |2                |
|870  |SWARM GOLD                 |2005-08-20 |2                |
|322  |FLATLINERS KILLER          |2005-08-20 |2                |
|77   |BIRDS PERDITION            |2005-08-20 |2                |
|247  |DOWNHILL ENOUGH            |2005-08-20 |2                |
|666  |PAYCHECK WAIT              |2005-08-20 |2                |
|798  |SILVERADO GOLDFINGER       |2005-08-20 |2                |
|484  |JERK PAYCHECK              |2005-08-20 |2                |
|418  |HOBBIT ALIEN               |2005-08-20 |2                |
|744  |ROOTS REMEMBER             |2005-08-20 |2                |
|175  |CONFUSED CANDLES           |2005-08-20 |2                |
|269  |EARRING INSTINCT           |2005-08-20 |2                |
|366  |GOLDFINGER SENSIBILITY     |2005-08-20 |2                |
|444  |HUSTLER PARTY              |2005-08-20 |2                |
|767  |SCALAWAG DUCK              |2005-08-20 |2                |
|879  |TELEGRAPH VOYAGE           |2005-08-20 |2                |
|901  |TRACY CIDER                |2005-08-20 |2                |
|287  |ENTRAPMENT SATISFACTION    |2005-08-20 |2                |
|340  |FRONTIER CABIN             |2005-08-21 |2                |
|825  |SPEAKEASY DATE             |2005-08-21 |2                |
|160  |CLUB GRAFFITI              |2005-08-21 |2                |
|572  |METROPOLIS COMA            |2005-08-21 |2                |
|25   |ANGELS LIFE                |2005-08-21 |2                |
|862  |SUMMER SCARFACE            |2005-08-21 |2                |
|59   |BEAR GRACELAND             |2005-08-21 |2                |
|449  |IDENTITY LOVER             |2005-08-21 |2                |
|104  |BUGSY SONG                 |2005-08-21 |2                |
|225  |DESTINATION JERK           |2005-08-21 |2                |
|199  |CUPBOARD SINNERS           |2005-08-21 |2                |
|914  |TROUBLE DATE               |2005-08-21 |2                |
|114  |CAMELOT VACATION           |2005-08-21 |2                |
|70   |BIKINI BORROWERS           |2005-08-21 |2                |
|189  |CREATURES SHAKESPEARE      |2005-08-21 |2                |
|293  |EXORCIST STING             |2005-08-21 |2                |
|891  |TIMBERLAND SKY             |2005-08-21 |2                |
|691  |POSEIDON FOREVER           |2005-08-21 |2                |
|583  |MISSION ZOOLANDER          |2005-08-21 |2                |
|687  |POCUS PULP                 |2005-08-21 |2                |
|312  |FIDDLER LOST               |2005-08-21 |2                |
|116  |CANDIDATE PERDITION        |2005-08-21 |2                |
|698  |PRINCESS GIANT             |2005-08-21 |2                |
|794  |SIDE ARK                   |2005-08-21 |2                |
|402  |HARPER DYING               |2005-08-21 |2                |
|284  |ENEMY ODDS                 |2005-08-21 |2                |
|619  |NEIGHBORS CHARADE          |2005-08-21 |2                |
|19   |AMADEUS HOLY               |2005-08-21 |2                |
|434  |HORROR REIGN               |2005-08-21 |2                |
|760  |SAMURAI LION               |2005-08-21 |2                |
|50   |BAKED CLEOPATRA            |2005-08-21 |2                |
|512  |LEAGUE HELLFIGHTERS        |2005-08-21 |2                |
|892  |TITANIC BOONDOCK           |2005-08-21 |2                |
|468  |INVASION CYCLONE           |2005-08-21 |2                |
|973  |WIFE TURN                  |2005-08-21 |2                |
|964  |WATERFRONT DELIVERANCE     |2005-08-21 |2                |
|415  |HIGH ENCINO                |2005-08-21 |2                |
|17   |ALONE TRIP                 |2005-08-21 |2                |
|506  |LADY STAGE                 |2005-08-21 |2                |
|409  |HEARTBREAKERS BRIGHT       |2005-08-21 |2                |
|730  |RIDGEMONT SUBMARINE        |2005-08-21 |2                |
|174  |CONFIDENTIAL INTERVIEW     |2005-08-21 |2                |
|843  |STEEL SANTA                |2005-08-21 |2                |
|925  |UNITED PILOT               |2005-08-21 |2                |
|242  |DOOM DANCING               |2005-08-22 |2                |
|91   |BOUND CHEAPER              |2005-08-22 |2                |
|634  |ODDS BOOGIE                |2005-08-22 |2                |
|682  |PITTSBURGH HUNCHBACK       |2005-08-22 |2                |
|274  |EGG IGBY                   |2005-08-22 |2                |
